QITEM_NUM,CODE_VALUE,CODE_NM
Q1,1,10대
,2,20대
,3,30대
,4,40대
,5,50대 이상
Q2,1,서울
,2,부산
,3,대전
,4,인천
,5,대구
,6,광주
,7,울산
,8,세종
,9,경기
,10,강원
,11,충북
,12,충남
,13,전북
,14,전남
,15,경북
,16,경남
,17,제주
Q3,1,중학교 졸업 이하
,2,고등학교 졸업
,3,전문대학(2~3년제) 졸업
,4,대학교(4년제) 졸업
,5,대학원 졸업 이상
,6,기타
Q4,1,100만 원 미만
,2,100만 원 이상 ~ 200만 원 미만
,3,200만 원 이상 ~ 300만 원 미만
,4,300만 원 이상 ~ 400만 원 미만
,5,400만 원 이상 ~ 500만 원 미만
,6,500만 원 이상 ~ 600만 원 미만
,7,600만 원 이상 ~ 700만 원 미만
,8,700만 원 이상 ~ 800만 원 미만
,9,800만 원 이상 ~ 900만 원 미만
,10,900만 원 이상 ~ 1000만 원 미만
,11,1000만 원 이상
,12,응답 거절 / 모르겠음
Q5,1,예
,2,아니오
Q6,1,데스크탑 PC(컴퓨터)
,2,노트북(컴퓨터)
,3,휴대폰
,4,태블릿 PC
,5,프린터
,6,웹캠
,7,기타
Q7,1,내 방에서
,2,가족과 함께 쓰는 공용 공간에서(예: 거실)
,3,"카페, PC방 등 집 밖에서"
,4,학교 교실에서
,5,기타
Q8,1,1. 전혀 그렇지 않다
,2,2. 그렇지 않다
,3,3. 보통이다
,4,4. 그렇다
,5,5. 매우 그렇다
Q9,1,1. 전혀 그렇지 않다
,2,2. 그렇지 않다
,3,3. 보통이다
,4,4. 그렇다
,5,5. 매우 그렇다
Q10,1,1. 전혀 그렇지 않다
,2,2. 그렇지 않다
,3,3. 보통이다
,4,4. 그렇다
,5,5. 매우 그렇다
Q11,1,1. 전혀 그렇지 않다
,2,2. 그렇지 않다
,3,3. 보통이다
,4,4. 그렇다
,5,5. 매우 그렇다
Q12,1,1. 전혀 그렇지 않다
,2,2. 그렇지 않다
,3,3. 보통이다
,4,4. 그렇다
,5,5. 매우 그렇다
Q13,1,1. 전혀 그렇지 않다
,2,2. 그렇지 않다
,3,3. 보통이다
,4,4. 그렇다
,5,5. 매우 그렇다
